Year,Month,Recreation Visitors,Non-Recreation Visitors,Recreation Visitor Hours,Non-Recreation Hours,Concession Lodging,Tent Campers,RV Campers,Concession Camping,Backcountry Campers,Misc Campers,Non-Recreation Overnight Stays,Total Overnight Stays,Month_Num,Date
1979,January,0,0,0,0,0,0,0,0,0,0,0,0,1,1979-01-01
1979,February,0,0,0,0,0,0,0,0,0,0,0,0,2,1979-02-01
1979,March,0,0,0,0,0,0,0,0,0,0,0,0,3,1979-03-01
1979,April,0,0,0,0,0,0,0,0,0,0,0,0,4,1979-04-01
1979,May,386,0,42862,0,0,663,0,0,593,485,0,1741,5,1979-05-01
1979,June,2255,0,256002,0,1413,3628,0,0,3367,1940,0,10348,6,1979-06-01
1979,July,5152,15,479254,3930,3863,7624,0,189,6118,1269,236,19299,7,1979-07-01
1979,August,5713,7,683855,4578,4262,12695,0,144,8793,1658,189,27741,8,1979-08-01
1979,September,1203,3,123196,2610,119,2345,0,0,2080,345,108,4997,9,1979-09-01
1979,October,73,3,12516,2376,0,185,0,0,193,39,97,514,10,1979-10-01
1979,November,0,0,0,0,0,0,0,0,0,0,0,0,11,1979-11-01
1979,December,0,0,0,0,0,0,0,0,0,0,0,0,12,1979-12-01
1980,January,0,0,0,0,0,0,0,0,0,0,0,0,1,1980-01-01
1980,February,0,0,0,0,0,0,0,0,0,0,0,0,2,1980-02-01
1980,March,0,0,0,0,0,0,0,0,0,0,0,0,3,1980-03-01
1980,April,0,0,0,0,0,0,0,0,0,0,0,0,4,1980-04-01
1980,May,553,4,58792,364,10,1036,0,48,1276,21,65,2456,5,1980-05-01
1980,June,2642,1,245980,2742,1127,3591,0,35,4594,250,114,9711,6,1980-06-01
1980,July,5140,6,501001,1944,3866,6252,0,73,9112,923,81,20307,7,1980-07-01
1980,August,5934,0,603621,2040,3704,8428,0,103,11266,871,85,24457,8,1980-08-01
1980,September,640,1,63626,2022,263,397,0,23,1647,230,84,2644,9,1980-09-01
1980,October,68,7,4908,2448,0,36,0,0,148,8,102,294,10,1980-10-01
1980,November,0,0,0,0,0,0,0,0,0,0,0,0,11,1980-11-01
1980,December,0,0,0,0,0,0,0,0,0,0,0,0,12,1980-12-01
1981,January,0,0,0,0,0,0,0,0,0,0,0,0,1,1981-01-01
1981,February,0,0,0,0,0,0,0,0,0,0,0,0,2,1981-02-01
1981,March,0,0,0,0,0,0,0,0,0,0,0,0,3,1981-03-01
1981,April,0,0,0,0,0,0,0,0,0,0,0,0,4,1981-04-01
1981,May,593,4,70915,264,90,325,0,145,2283,34,10,2887,5,1981-05-01
1981,June,2506,1,240296,3006,1371,1299,0,43,6817,146,125,9801,6,1981-06-01
1981,July,5010,0,444680,2904,3870,2057,0,217,10995,780,121,18040,7,1981-07-01
1981,August,5265,0,517041,2376,4032,2358,0,74,13728,666,99,20957,8,1981-08-01
1981,September,1098,1,125366,1374,201,763,0,26,3758,183,57,4988,9,1981-09-01
1981,October,86,0,9264,408,0,68,0,0,272,33,17,390,10,1981-10-01
1981,November,0,0,0,0,0,0,0,0,0,0,0,0,11,1981-11-01
1981,December,0,0,0,0,0,0,0,0,0,0,0,0,12,1981-12-01
1982,January,0,0,0,0,0,0,0,0,0,0,0,0,1,1982-01-01
1982,February,0,0,0,0,0,0,0,0,0,0,0,0,2,1982-02-01
1982,March,0,0,0,0,0,0,0,0,0,0,0,0,3,1982-03-01
1982,April,0,0,0,0,0,0,0,0,0,0,0,0,4,1982-04-01
1982,May,517,0,46009,0,33,181,0,122,1603,26,0,1965,5,1982-05-01
1982,June,2153,5,237101,1758,1291,1101,0,107,7031,73,72,9675,6,1982-06-01
1982,July,4470,4,417395,368,3545,1770,0,783,10186,681,72,17037,7,1982-07-01
1982,August,5012,0,507549,2232,3832,2288,0,459,13413,503,93,20588,8,1982-08-01
1982,September,1023,1,131474,1806,959,629,0,66,3579,118,74,5425,9,1982-09-01
1982,October,63,2,3411,492,0,16,0,0,117,3,20,156,10,1982-10-01
1982,November,0,0,0,0,0,0,0,0,0,0,0,0,11,1982-11-01
1982,December,0,0,0,0,0,0,0,0,0,0,0,0,12,1982-12-01
1983,January,0,0,0,0,0,0,0,0,0,0,0,0,1,1983-01-01
1983,February,0,0,0,0,0,0,0,0,0,0,0,0,2,1983-02-01
1983,March,0,0,0,0,0,0,0,0,0,0,0,0,3,1983-03-01
1983,April,0,0,0,0,0,0,0,0,0,0,0,0,4,1983-04-01
1983,May,510,8,50394,1410,94,130,0,38,1688,44,58,2052,5,1983-05-01
1983,June,1988,25,242450,1728,1020,1132,0,75,7479,143,72,9921,6,1983-06-01
1983,July,4264,0,385689,2160,3126,1920,0,698,9314,517,90,15665,7,1983-07-01
1983,August,4953,7,494170,954,3626,2793,0,364,12890,299,38,20010,8,1983-08-01
1983,September,1131,0,116751,0,428,623,0,44,3560,74,0,4729,9,1983-09-01
1983,October,82,5,9102,1536,0,67,0,0,290,7,64,428,10,1983-10-01
1983,November,0,0,0,0,0,0,0,0,0,0,0,0,11,1983-11-01
1983,December,0,0,0,0,0,0,0,0,0,0,0,0,12,1983-12-01
1984,January,0,0,0,0,0,0,0,0,0,0,0,0,1,1984-01-01
1984,February,0,0,0,0,0,0,0,0,0,0,0,0,2,1984-02-01
1984,March,0,0,0,0,0,0,0,0,0,0,0,0,3,1984-03-01
1984,April,0,0,0,0,0,0,0,0,0,0,0,0,4,1984-04-01
1984,May,502,322,44720,438,71,174,0,5,1546,33,14,1843,5,1984-05-01
1984,June,1554,805,164909,3656,1569,1033,0,131,5484,347,18,8582,6,1984-06-01
1984,July,4009,1412,334426,4137,1569,1866,0,1049,8437,924,155,14000,7,1984-07-01
1984,August,4748,1814,474040,4454,3390,2456,0,459,12296,1021,163,19785,8,1984-08-01
1984,September,954,432,122734,2098,1295,566,0,60,2944,241,82,5188,9,1984-09-01
1984,October,47,3,1128,5553,0,23,0,0,157,10,231,421,10,1984-10-01
1984,November,0,6,0,2,0,0,0,0,0,0,0,0,11,1984-11-01
1984,December,0,36,0,11,0,0,0,0,0,0,0,0,12,1984-12-01
1985,January,0,28,0,8,0,0,0,0,0,0,0,0,1,1985-01-01
1985,February,0,91,0,27,0,0,0,0,0,0,0,0,2,1985-02-01
1985,March,0,110,0,33,0,0,0,0,0,0,0,0,3,1985-03-01
