Year,Month,Recreation Visitors,Non-Recreation Visitors,Recreation Visitor Hours,Non-Recreation Hours,Concession Lodging,Tent Campers,RV Campers,Concession Camping,Backcountry Campers,Misc Campers,Non-Recreation Overnight Stays,Total Overnight Stays,
1979,January,0,0,0,0,0,0,0,0,0,0,0,0,
1979,February,0,0,0,0,0,0,0,0,0,0,0,0,
1979,March,0,0,0,0,0,0,0,0,0,0,0,0,
1979,April,0,0,0,0,0,0,0,0,0,0,0,0,
1979,May,386,0,"42,862",0,0,663,0,0,593,485,0,"1,741",
1979,June,"2,255",0,"256,002",0,"1,413","3,628",0,0,"3,367","1,940",0,"10,348",
1979,July,"5,152",15,"479,254","3,930","3,863","7,624",0,189,"6,118","1,269",236,"19,299",
1979,August,"5,713",7,"683,855","4,578","4,262","12,695",0,144,"8,793","1,658",189,"27,741",
1979,September,"1,203",3,"123,196","2,610",119,"2,345",0,0,"2,080",345,108,"4,997",
1979,October,73,3,"12,516","2,376",0,185,0,0,193,39,97,514,
1979,November,0,0,0,0,0,0,0,0,0,0,0,0,
1979,December,0,0,0,0,0,0,0,0,0,0,0,0,
1980,January,0,0,0,0,0,0,0,0,0,0,0,0,
1980,February,0,0,0,0,0,0,0,0,0,0,0,0,
1980,March,0,0,0,0,0,0,0,0,0,0,0,0,
1980,April,0,0,0,0,0,0,0,0,0,0,0,0,
1980,May,553,4,"58,792",364,10,"1,036",0,48,"1,276",21,65,"2,456",
1980,June,"2,642",1,"245,980","2,742","1,127","3,591",0,35,"4,594",250,114,"9,711",
1980,July,"5,140",6,"501,001","1,944","3,866","6,252",0,73,"9,112",923,81,"20,307",
1980,August,"5,934",0,"603,621","2,040","3,704","8,428",0,103,"11,266",871,85,"24,457",
1980,September,640,1,"63,626","2,022",263,397,0,23,"1,647",230,84,"2,644",
1980,October,68,7,"4,908","2,448",0,36,0,0,148,8,102,294,
1980,November,0,0,0,0,0,0,0,0,0,0,0,0,
1980,December,0,0,0,0,0,0,0,0,0,0,0,0,
1981,January,0,0,0,0,0,0,0,0,0,0,0,0,
1981,February,0,0,0,0,0,0,0,0,0,0,0,0,
1981,March,0,0,0,0,0,0,0,0,0,0,0,0,
1981,April,0,0,0,0,0,0,0,0,0,0,0,0,
1981,May,593,4,"70,915",264,90,325,0,145,"2,283",34,10,"2,887",
1981,June,"2,506",1,"240,296","3,006","1,371","1,299",0,43,"6,817",146,125,"9,801",
1981,July,"5,010",0,"444,680","2,904","3,870","2,057",0,217,"10,995",780,121,"18,040",
1981,August,"5,265",0,"517,041","2,376","4,032","2,358",0,74,"13,728",666,99,"20,957",
1981,September,"1,098",1,"125,366","1,374",201,763,0,26,"3,758",183,57,"4,988",
1981,October,86,0,"9,264",408,0,68,0,0,272,33,17,390,
1981,November,0,0,0,0,0,0,0,0,0,0,0,0,
1981,December,0,0,0,0,0,0,0,0,0,0,0,0,
1982,January,0,0,0,0,0,0,0,0,0,0,0,0,
1982,February,0,0,0,0,0,0,0,0,0,0,0,0,
1982,March,0,0,0,0,0,0,0,0,0,0,0,0,
1982,April,0,0,0,0,0,0,0,0,0,0,0,0,
1982,May,517,0,"46,009",0,33,181,0,122,"1,603",26,0,"1,965",
1982,June,"2,153",5,"237,101","1,758","1,291","1,101",0,107,"7,031",73,72,"9,675",
1982,July,"4,470",4,"417,395",368,"3,545","1,770",0,783,"10,186",681,72,"17,037",
1982,August,"5,012",0,"507,549","2,232","3,832","2,288",0,459,"13,413",503,93,"20,588",
1982,September,"1,023",1,"131,474","1,806",959,629,0,66,"3,579",118,74,"5,425",
1982,October,63,2,"3,411",492,0,16,0,0,117,3,20,156,
1982,November,0,0,0,0,0,0,0,0,0,0,0,0,
1982,December,0,0,0,0,0,0,0,0,0,0,0,0,
1983,January,0,0,0,0,0,0,0,0,0,0,0,0,
1983,February,0,0,0,0,0,0,0,0,0,0,0,0,
1983,March,0,0,0,0,0,0,0,0,0,0,0,0,
1983,April,0,0,0,0,0,0,0,0,0,0,0,0,
1983,May,510,8,"50,394","1,410",94,130,0,38,"1,688",44,58,"2,052",
1983,June,"1,988",25,"242,450","1,728","1,020","1,132",0,75,"7,479",143,72,"9,921",
1983,July,"4,264",0,"385,689","2,160","3,126","1,920",0,698,"9,314",517,90,"15,665",
1983,August,"4,953",7,"494,170",954,"3,626","2,793",0,364,"12,890",299,38,"20,010",
1983,September,"1,131",0,"116,751",0,428,623,0,44,"3,560",74,0,"4,729",
1983,October,82,5,"9,102","1,536",0,67,0,0,290,7,64,428,
1983,November,0,0,0,0,0,0,0,0,0,0,0,0,
1983,December,0,0,0,0,0,0,0,0,0,0,0,0,
1984,January,0,0,0,0,0,0,0,0,0,0,0,0,
1984,February,0,0,0,0,0,0,0,0,0,0,0,0,
1984,March,0,0,0,0,0,0,0,0,0,0,0,0,
1984,April,0,0,0,0,0,0,0,0,0,0,0,0,
1984,May,502,322,"44,720",438,71,174,0,5,"1,546",33,14,"1,843",
1984,June,"1,554",805,"164,909","3,656","1,569","1,033",0,131,"5,484",347,18,"8,582",
1984,July,"4,009","1,412","334,426","4,137","1,569","1,866",0,"1,049","8,437",924,155,"14,000",
1984,August,"4,748","1,814","474,040","4,454","3,390","2,456",0,459,"12,296","1,021",163,"19,785",
1984,September,954,432,"122,734","2,098","1,295",566,0,60,"2,944",241,82,"5,188",
1984,October,47,3,"1,128","5,553",0,23,0,0,157,10,231,421,
1984,November,0,6,0,2,0,0,0,0,0,0,0,0,
1984,December,0,36,0,11,0,0,0,0,0,0,0,0,
1985,January,0,28,0,8,0,0,0,0,0,0,0,0,
1985,February,0,91,0,27,0,0,0,0,0,0,0,0,
1985,March,0,110,0,33,0,0,0,0,0,0,0,0,
1985,April,102,704,"1,272",211,0,14,0,0,33,0,0,47,
1985,May,678,28,"54,076","2,424",63,327,0,26,"1,684",170,101,"2,371",
1985,June,"2,786",31,"211,001","5,112","1,534","1,006",0,136,"5,598",458,213,"8,945",
1985,July,"5,756",37,"381,536","6,552","3,439","1,677",0,591,"8,877","1,141",273,"15,998",
1985,August,"6,050",28,"507,606","4,056","3,670","2,815",0,642,"13,057",804,169,"21,157",
1985,September,"1,145",4,"101,104","2,856",613,538,0,20,"2,844",176,119,"4,310",
1985,October,131,0,"10,939","3,216",0,56,0,0,169,2,134,361,
1985,November,10,0,10,0,0,0,0,0,0,0,0,0,
1985,December,117,0,117,0,0,0,0,0,0,0,0,0,
1986,January,22,0,22,0,0,0,0,0,0,0,0,0,
1986,February,116,0,116,0,0,0,0,0,0,0,0,0,
1986,March,337,7,337,"6,456",0,0,0,0,0,0,269,269,
1986,April,297,0,892,"1,440",0,0,0,0,25,0,60,85,
1986,May,863,6,"46,603","2,296",73,158,0,29,"1,421",243,95,"2,019",
1986,June,"3,892",2,"240,122","6,120","1,120","1,059",0,297,"6,884",520,255,"10,135",
1986,July,"9,266",0,"432,888","4,392","4,785","1,732",0,846,"8,785","1,530",183,"17,861",
1986,August,"9,583",8,"505,580","4,640","3,884","2,395",0,540,"13,028",868,192,"20,907",
1986,September,"1,373",0,"100,742","1,512",526,529,0,33,"2,864",207,63,"4,222",
1986,October,150,53,"7,055","8,352",0,45,0,0,221,24,348,638,
1986,November,62,0,62,0,0,0,0,0,0,0,0,0,
1986,December,161,0,161,0,0,0,0,0,0,0,0,0,
1987,January,25,0,25,0,0,0,0,0,0,0,0,0,
1987,February,60,0,60,0,0,0,0,0,0,0,0,0,
1987,March,308,0,308,0,0,0,0,0,0,0,0,0,
1987,April,266,78,"1,261","1,968",0,2,0,0,40,0,82,124,
1987,May,"1,419",58,"58,312","9,056",133,252,0,12,"1,754",237,377,"2,765",
1987,June,"5,197",56,"251,453","9,304",899,"1,211",0,86,"7,118",796,387,"10,497",
1987,July,"10,702",5,"397,086","5,760","2,101","2,114",0,656,"9,229","1,801",240,"16,141",
1987,August,"10,861",1,"447,689","3,840","2,272","2,102",0,454,"11,749","1,521",160,"18,258",
1987,September,"2,571",0,"118,020","1,728",588,551,0,35,"3,184",401,72,"4,831",
1987,October,191,0,"7,134","4,320",0,60,0,0,177,56,180,473,
